CustomerID,Recency,Frequency,Monetary,LoyaltyScore,AvgBasketSize,Returns,SupportTickets,ReferralCount,AvgSessionTime,segment_id,segment_name,churn,churn_prediction,churn_probability
1468,114,1,170.82,23,4.2,3,8,15,48.07,0,Needs Attention,0,0.0,0.0
1331,100,1,737.92,76,6.73,2,8,16,97.32,1,Occasional Shoppers,0,0.0,0.0
1068,219,1,687.87,63,1.91,4,0,17,25.61,2,Champions,1,1.0,1.0
1198,231,1,639.62,48,4.24,0,0,5,77.73,3,Loyalists,1,1.0,1.0
1344,146,1,505.58,60,1.11,0,2,15,8.65,0,Needs Attention,0,0.0,0.0
1404,341,1,623.55,31,7.56,0,4,8,39.78,3,Loyalists,1,1.0,1.0
1165,266,1,935.68,72,5.19,2,8,9,58.39,1,Occasional Shoppers,1,1.0,1.0
1183,187,1,546.65,24,9.93,0,1,0,64.57,3,Loyalists,1,1.0,1.0
1378,104,1,53.27,2,7.73,0,2,2,35.88,3,Loyalists,0,0.0,0.0
1226,92,1,198.29,51,9.78,1,6,6,30.15,0,Needs Attention,0,0.0,0.0
1259,253,1,223.73,44,1.52,0,1,16,42.56,0,Needs Attention,1,1.0,1.0
1031,347,1,98.63,58,4.57,2,5,14,26.35,0,Needs Attention,1,1.0,1.0
1175,54,1,599.45,46,7.81,3,9,15,93.87,1,Occasional Shoppers,0,0.0,0.0
1201,142,1,194.48,86,5.98,2,5,7,87.39,3,Loyalists,0,0.0,0.0
1426,196,1,128.26,37,8.86,4,3,16,41.1,1,Occasional Shoppers,1,1.0,1.0
1441,134,1,429.23,37,6.54,0,0,9,42.75,3,Loyalists,0,0.0,0.0
1496,120,1,505.24,8,2.99,1,9,8,32.39,0,Needs Attention,0,0.0,0.0
1051,193,1,517.46,13,6.22,3,7,10,63.15,1,Occasional Shoppers,1,1.0,1.0
1243,191,1,803.92,97,9.67,3,7,4,69.09,1,Occasional Shoppers,1,1.0,1.0
1274,13,1,447.4,50,6.54,1,6,12,31.68,0,Needs Attention,0,0.0,0.0
1296,202,1,916.01,12,2.94,2,3,16,44.32,2,Champions,1,1.0,1.0
1415,250,1,771.84,1,8.36,1,5,14,57.85,1,Occasional Shoppers,1,1.0,1.0
1030,59,1,898.83,45,4.3,1,4,1,13.11,0,Needs Attention,0,0.0,0.0
1034,319,1,982.73,42,5.04,4,2,5,98.62,2,Champions,1,1.0,1.0
1064,48,1,990.16,71,9.34,0,9,4,55.51,1,Occasional Shoppers,0,0.0,0.0
1156,85,1,573.83,35,6.86,1,5,18,54.85,3,Loyalists,0,0.0,0.0
1163,234,1,435.65,80,6.02,1,7,13,12.9,0,Needs Attention,1,1.0,1.0
1489,364,1,728.95,90,8.1,3,4,0,45.39,1,Occasional Shoppers,1,1.0,1.0
1276,225,1,949.48,62,6.62,2,6,16,92.9,1,Occasional Shoppers,1,1.0,1.0
1307,11,1,876.41,55,1.88,3,1,18,82.6,2,Champions,0,0.0,0.0
1372,304,1,58.64,94,9.72,4,4,19,14.79,1,Occasional Shoppers,1,1.0,1.0
1480,217,1,956.54,8,8.24,0,1,17,33.71,3,Loyalists,1,1.0,1.0
1235,221,1,721.65,54,2.57,1,7,16,85.38,0,Needs Attention,1,1.0,1.0
1493,228,1,689.59,82,3.95,1,5,13,9.61,0,Needs Attention,1,1.0,1.0
1019,145,1,368.97,45,3.94,2,0,17,62.8,2,Champions,0,0.0,0.0
1269,144,1,598.49,32,7.23,2,7,16,46.45,1,Occasional Shoppers,0,0.0,0.0
1294,193,1,286.86,12,2.23,0,7,5,111.74,3,Loyalists,1,1.0,1.0
1135,193,1,244.67,67,7.23,4,0,0,96.03,2,Champions,1,1.0,1.0
1350,206,1,700.8,36,7.97,3,0,6,80.79,2,Champions,1,1.0,1.0
1418,337,1,634.96,8,8.57,4,4,3,11.55,1,Occasional Shoppers,1,1.0,1.0
1148,14,1,948.34,69,4.19,4,4,8,49.78,2,Champions,0,0.0,0.0
1210,340,1,754.96,21,8.66,4,9,11,26.61,1,Occasional Shoppers,1,1.0,1.0
1280,9,1,497.68,75,8.98,3,4,3,101.27,1,Occasional Shoppers,0,0.0,0.0
1363,307,1,810.43,18,6.62,4,8,7,58.48,1,Occasional Shoppers,1,1.0,1.0
1056,77,1,589.61,98,7.46,4,6,5,68.64,1,Occasional Shoppers,0,0.0,0.0
1085,251,1,156.98,22,7.38,1,9,14,30.57,0,Needs Attention,1,1.0,1.0
1398,134,1,328.98,76,8.62,4,7,1,21.9,1,Occasional Shoppers,0,0.0,0.0
1046,49,1,294.38,93,5.31,0,9,10,40.4,0,Needs Attention,0,0.0,0.0
1093,337,1,371.65,14,1.39,4,4,8,115.38,2,Champions,1,1.0,1.0
1260,230,1,46.0,49,9.95,2,9,1,91.04,1,Occasional Shoppers,1,1.0,1.0
1208,30,1,603.48,81,5.47,0,2,14,109.4,3,Loyalists,0,0.0,0.0
1077,251,1,141.81,20,7.45,3,3,15,23.56,0,Needs Attention,1,1.0,1.0
1215,328,1,55.82,95,4.43,3,7,8,80.84,1,Occasional Shoppers,1,1.0,1.0
1290,221,1,838.23,60,5.33,4,6,13,86.35,1,Occasional Shoppers,1,1.0,1.0
1457,57,1,783.99,43,9.97,3,0,12,70.65,1,Occasional Shoppers,0,0.0,0.0
1249,45,1,727.82,33,4.96,3,2,16,42.41,2,Champions,0,0.0,0.0
1324,218,1,368.56,61,8.57,3,7,18,101.3,1,Occasional Shoppers,1,1.0,1.0
1065,95,1,335.91,74,1.54,4,1,17,75.21,2,Champions,0,0.0,0.0
1125,106,1,767.21,29,3.09,0,4,13,84.19,3,Loyalists,0,0.0,0.0
1295,146,1,38.02,87,5.82,0,5,0,111.85,3,Loyalists,0,0.0,0.0
1332,312,1,230.64,49,6.53,3,0,11,115.51,2,Champions,1,1.0,1.0
1469,356,1,819.52,44,8.15,1,7,1,96.74,1,Occasional Shoppers,1,1.0,1.0
1176,152,1,411.02,50,4.13,1,3,6,68.07,3,Loyalists,0,0.0,0.0
1291,358,1,984.71,14,1.17,3,9,1,49.76,2,Champions,1,1.0,1.0
1061,286,1,349.87,70,6.83,3,0,15,101.36,2,Champions,1,1.0,1.0
1197,254,1,588.98,38,3.37,3,0,8,71.56,2,Champions,1,1.0,1.0
1207,6,1,512.15,77,9.27,2,5,18,53.86,1,Occasional Shoppers,0,0.0,0.0
1456,240,1,202.71,88,8.89,0,8,19,21.24,0,Needs Attention,1,1.0,1.0
1477,15,1,280.29,8,6.05,1,7,17,30.36,0,Needs Attention,0,0.0,0.0
1055,248,1,302.86,95,8.32,3,4,11,50.16,1,Occasional Shoppers,1,1.0,1.0
1244,192,1,194.97,2,5.95,0,6,5,9.48,0,Needs Attention,1,1.0,1.0
1300,47,1,563.09,19,8.21,2,3,4,117.83,3,Loyalists,0,0.0,0.0
1425,353,1,254.0,28,7.2,0,0,6,104.15,3,Loyalists,1,1.0,1.0
1114,303,1,798.14,98,5.07,4,5,18,50.06,1,Occasional Shoppers,1,1.0,1.0
1206,195,1,996.94,64,5.64,3,5,2,29.71,1,Occasional Shoppers,1,1.0,1.0
1288,179,1,272.73,3,1.1,0,0,13,92.02,3,Loyalists,0,0.0,2.220446049250313e-14
1306,304,1,902.02,53,8.6,1,7,2,57.3,1,Occasional Shoppers,1,1.0,1.0
1311,252,1,191.86,82,7.64,2,7,9,24.25,0,Needs Attention,1,1.0,1.0
1170,340,1,842.12,93,7.21,2,2,12,30.03,1,Occasional Shoppers,1,1.0,1.0
1266,234,1,354.98,6,2.09,4,1,19,52.29,2,Champions,1,1.0,1.0
1382,295,1,971.64,41,4.04,0,1,15,116.9,3,Loyalists,1,1.0,1.0
1122,94,1,749.07,39,6.78,0,9,2,59.54,1,Occasional Shoppers,0,0.0,0.0
1145,38,1,591.72,6,2.73,1,6,16,28.4,0,Needs Attention,0,0.0,0.0
1247,135,1,117.45,77,3.81,2,3,18,108.26,3,Loyalists,0,0.0,0.0
1304,257,1,30.78,8,5.93,2,3,12,73.21,3,Loyalists,1,1.0,1.0
1488,239,1,274.56,55,7.37,0,6,5,57.71,3,Loyalists,1,1.0,1.0
1491,275,1,99.43,74,4.96,2,3,7,60.91,3,Loyalists,1,1.0,1.0
1008,61,1,508.47,88,6.92,2,3,14,86.13,3,Loyalists,0,0.0,0.0
1172,70,1,922.43,8,5.82,4,3,8,60.66,2,Champions,0,0.0,0.0
1391,167,1,245.41,89,2.09,4,5,8,19.91,0,Needs Attention,0,0.0,0.0
1302,254,1,833.15,100,5.39,2,7,5,97.51,1,Occasional Shoppers,1,1.0,1.0
1485,8,1,105.25,47,1.53,3,9,13,77.14,2,Champions,0,0.0,0.0
1047,90,1,774.1,12,1.23,3,8,11,110.09,2,Champions,0,0.0,0.0
1190,236,1,463.39,94,7.8,2,6,3,107.4,1,Occasional Shoppers,1,1.0,1.0
1400,139,1,794.91,36,3.27,3,3,2,104.44,2,Champions,0,0.0,0.0
1427,156,1,367.53,47,6.73,4,9,8,66.87,1,Occasional Shoppers,0,0.0,0.0
1458,351,1,363.12,98,4.31,2,6,7,26.31,0,Needs Attention,1,1.0,1.0
1434,6,1,439.22,79,9.93,1,3,12,90.29,3,Loyalists,0,0.0,0.0
1473,304,1,601.08,45,6.78,4,7,2,102.19,1,Occasional Shoppers,1,1.0,1.0
1137,178,1,725.64,56,2.16,3,1,19,26.1,2,Champions,0,0.0,0.0
1323,64,1,302.92,35,3.29,3,6,15,81.79,2,Champions,0,0.0,0.0
1399,286,1,548.7,56,9.27,2,6,1,44.4,1,Occasional Shoppers,1,1.0,1.0
1089,326,1,180.98,22,9.67,4,1,16,11.64,1,Occasional Shoppers,1,1.0,1.0
1100,164,1,315.35,52,2.91,0,5,9,85.75,3,Loyalists,0,0.0,0.0
1155,63,1,933.48,61,8.92,3,1,18,97.44,1,Occasional Shoppers,0,0.0,0.0
1267,306,1,274.23,73,3.73,3,6,19,19.96,0,Needs Attention,1,1.0,1.0
1367,223,1,264.67,97,6.54,3,2,5,12.71,0,Needs Attention,1,1.0,1.0
1062,221,1,151.73,83,9.08,1,3,11,103.76,3,Loyalists,1,1.0,1.0
1082,291,1,746.3,64,7.13,2,7,9,32.78,1,Occasional Shoppers,1,1.0,1.0
1218,133,1,84.39,11,8.25,2,8,17,84.62,1,Occasional Shoppers,0,0.0,0.0
1242,349,1,122.03,32,2.22,3,1,14,32.99,2,Champions,1,1.0,1.0
1380,253,1,311.4,69,6.91,3,6,1,24.26,1,Occasional Shoppers,1,1.0,1.0
1130,218,1,849.52,78,2.23,0,7,19,101.15,3,Loyalists,1,1.0,1.0
1410,127,1,538.36,74,9.44,3,4,1,21.57,1,Occasional Shoppers,0,0.0,0.0
1275,331,1,308.58,92,3.76,1,4,0,6.65,0,Needs Attention,1,1.0,1.0
1171,145,1,142.17,53,2.81,2,9,7,81.09,0,Needs Attention,0,0.0,0.0
1349,174,1,803.43,96,4.15,3,9,14,106.54,1,Occasional Shoppers,0,0.0,0.0
1353,35,1,373.75,66,2.57,4,6,12,106.9,2,Champions,0,0.0,0.0
1144,225,1,910.28,84,9.05,3,4,0,108.7,1,Occasional Shoppers,1,1.0,1.0
1444,347,1,478.05,29,8.05,0,0,2,19.49,3,Loyalists,1,1.0,1.0
1461,49,1,886.11,29,8.98,4,3,14,26.03,1,Occasional Shoppers,0,0.0,0.0
1021,125,1,613.66,53,8.27,4,9,17,61.48,1,Occasional Shoppers,0,0.0,0.0
1245,313,1,659.69,97,9.69,4,8,16,81.69,1,Occasional Shoppers,1,1.0,1.0
1335,352,1,603.18,31,2.35,3,1,11,51.22,2,Champions,1,1.0,1.0
1273,145,1,561.01,72,8.33,4,5,14,80.25,1,Occasional Shoppers,0,0.0,0.0
1301,36,1,658.39,55,9.64,0,4,15,79.69,3,Loyalists,0,0.0,0.0
1394,248,1,702.36,35,6.81,3,6,18,82.51,1,Occasional Shoppers,1,1.0,1.0
1455,215,1,236.08,53,3.75,4,4,17,81.09,2,Champions,1,1.0,1.0
1026,121,1,177.47,38,2.08,4,6,10,80.34,2,Champions,0,0.0,0.0
1074,223,1,930.94,93,5.85,2,7,16,87.66,1,Occasional Shoppers,1,1.0,1.0
1113,96,1,156.49,26,6.61,0,1,1,28.72,3,Loyalists,0,0.0,0.0
1467,9,1,702.1,50,6.58,1,2,10,21.45,0,Needs Attention,0,0.0,0.0
1069,342,1,765.02,28,5.37,3,5,5,84.8,1,Occasional Shoppers,1,1.0,1.0
1146,269,1,412.83,19,3.91,3,4,1,12.7,0,Needs Attention,1,1.0,1.0
1251,161,1,833.62,26,6.77,4,2,1,119.56,2,Champions,0,0.0,0.0
1355,96,1,918.97,34,6.94,4,6,6,89.8,1,Occasional Shoppers,0,0.0,0.0
1028,276,1,299.39,7,1.05,1,8,17,23.34,0,Needs Attention,1,1.0,1.0
1499,40,1,828.19,91,9.99,2,8,6,58.62,1,Occasional Shoppers,0,0.0,0.0
1191,332,1,158.04,78,2.15,4,2,2,91.25,2,Champions,1,1.0,1.0
1435,93,1,396.64,6,1.89,4,7,13,61.65,2,Champions,0,0.0,0.0
1029,93,1,189.91,5,3.92,2,5,5,23.45,0,Needs Attention,0,0.0,0.0
1032,230,1,534.02,31,7.26,4,1,13,81.39,2,Champions,1,1.0,1.0
1167,207,1,461.82,46,6.06,0,5,14,80.52,3,Loyalists,1,1.0,1.0
1464,27,1,190.42,95,4.71,4,3,0,111.62,2,Champions,0,0.0,0.0
1087,97,1,217.59,10,6.11,3,9,10,74.89,1,Occasional Shoppers,0,0.0,0.0
1341,166,1,124.47,4,7.45,2,0,4,73.18,3,Loyalists,0,0.0,0.0
1360,163,1,551.06,58,9.71,1,7,17,108.2,1,Occasional Shoppers,0,0.0,0.0
1407,263,1,872.7,67,2.6,1,5,5,20.77,0,Needs Attention,1,1.0,1.0
1010,6,1,546.36,80,1.43,1,4,10,55.89,0,Needs Attention,0,0.0,0.0
1232,174,1,420.56,32,5.38,4,4,9,92.5,2,Champions,0,0.0,0.0
1357,40,1,951.23,6,3.39,3,4,13,97.3,2,Champions,0,0.0,0.0
1420,9,1,984.4,76,5.88,0,4,12,57.72,3,Loyalists,0,0.0,0.0
1436,171,1,686.05,61,4.61,4,8,9,60.57,1,Occasional Shoppers,0,0.0,0.0
1192,147,1,192.86,71,8.43,2,8,1,109.45,1,Occasional Shoppers,0,0.0,0.0
1128,115,1,824.83,2,5.47,4,2,12,88.2,2,Champions,0,0.0,0.0
1227,203,1,864.55,88,6.77,1,6,15,73.46,1,Occasional Shoppers,1,1.0,1.0
1475,57,1,109.66,80,6.22,3,5,10,25.14,0,Needs Attention,0,0.0,0.0
1486,4,1,420.28,34,4.01,3,7,2,91.28,2,Champions,0,0.0,0.0
1186,134,1,360.01,20,8.58,3,4,7,76.35,1,Occasional Shoppers,0,0.0,0.0
1250,174,1,858.58,77,1.95,1,7,8,108.61,2,Champions,0,0.0,0.0
1314,290,1,395.48,83,4.55,0,0,11,85.17,3,Loyalists,1,1.0,1.0
1497,29,1,490.97,47,6.38,1,6,5,109.47,3,Loyalists,0,0.0,0.0
1220,71,1,464.22,89,3.74,0,2,15,112.99,3,Loyalists,0,0.0,0.0
1222,276,1,451.95,41,4.63,0,7,13,42.32,0,Needs Attention,1,1.0,1.0
1225,168,1,172.14,86,4.11,3,7,3,84.88,2,Champions,0,0.0,0.0
1299,241,1,288.57,45,9.78,1,1,0,119.5,3,Loyalists,1,1.0,1.0
1478,29,1,146.92,85,6.43,1,2,15,30.09,0,Needs Attention,0,0.0,0.0
1490,240,1,505.96,43,5.66,1,7,13,15.78,0,Needs Attention,1,1.0,1.0
1002,327,1,340.95,98,7.09,0,2,18,107.96,3,Loyalists,1,1.0,1.0
1048,238,1,203.3,39,4.07,0,5,0,114.57,3,Loyalists,1,1.0,1.0
1050,190,1,436.93,96,4.59,3,0,15,45.76,2,Champions,1,1.0,1.0
1166,285,1,927.06,60,1.54,3,9,19,88.11,2,Champions,1,1.0,1.0
1252,174,1,409.24,22,2.94,3,1,7,99.92,2,Champions,0,0.0,0.0
1255,150,1,307.28,90,2.37,4,1,5,71.32,2,Champions,0,0.0,0.0
1298,221,1,584.99,25,3.17,4,1,18,29.34,2,Champions,1,1.0,1.0
1375,342,1,196.96,44,9.82,2,8,16,29.24,1,Occasional Shoppers,1,1.0,1.0
1181,182,1,346.83,44,4.59,4,8,2,91.45,2,Champions,1,1.0,1.0
1189,222,1,240.11,25,1.8,1,3,9,27.42,0,Needs Attention,1,1.0,1.0
1321,342,1,260.44,28,7.19,2,5,2,86.09,1,Occasional Shoppers,1,1.0,1.0
1326,316,1,311.18,54,9.12,0,7,17,7.2,0,Needs Attention,1,1.0,1.0
1452,250,1,522.43,78,4.31,2,4,10,31.43,0,Needs Attention,1,1.0,1.0
1035,280,1,129.8,10,3.14,3,6,5,83.79,2,Champions,1,1.0,1.0
1136,228,1,727.81,81,9.92,3,2,12,56.9,1,Occasional Shoppers,1,1.0,1.0
1151,356,1,515.77,58,1.61,2,3,10,12.65,0,Needs Attention,1,1.0,1.0
1253,318,1,674.72,66,6.58,1,2,14,102.16,3,Loyalists,1,1.0,1.0
1052,70,1,257.56,46,5.8,0,6,12,113.23,3,Loyalists,0,0.0,0.0
1045,119,1,580.18,77,5.67,0,7,12,95.77,3,Loyalists,0,0.0,0.0
1194,77,1,430.55,84,7.38,1,3,19,73.67,3,Loyalists,0,0.0,0.0
1263,148,1,433.0,67,9.85,2,1,12,119.73,3,Loyalists,0,0.0,0.0
1470,254,1,239.95,38,1.84,4,0,7,47.25,2,Champions,1,1.0,1.0
1091,17,1,671.89,82,8.25,4,4,17,31.93,1,Occasional Shoppers,0,0.0,0.0
1132,250,1,409.34,22,4.64,1,1,3,101.98,3,Loyalists,1,1.0,1.0
1182,43,1,410.21,53,2.37,4,2,4,97.35,2,Champions,0,0.0,0.0
1240,362,1,678.45,74,1.61,2,3,15,8.87,0,Needs Attention,1,1.0,1.0
1330,106,1,938.09,7,9.06,3,8,0,101.39,1,Occasional Shoppers,0,0.0,0.0
1286,187,1,550.8,22,7.6,4,8,2,71.81,1,Occasional Shoppers,1,1.0,1.0
1073,255,1,361.89,37,8.23,1,3,1,5.23,0,Needs Attention,1,1.0,1.0
1119,338,1,168.64,81,2.95,2,9,19,7.08,0,Needs Attention,1,1.0,1.0
1180,110,1,24.54,64,3.11,3,6,14,94.93,2,Champions,0,0.0,0.0
1310,243,1,671.74,44,3.92,2,1,10,113.29,2,Champions,1,1.0,1.0
1362,260,1,737.58,3,7.92,4,3,8,116.94,1,Occasional Shoppers,1,1.0,1.0
1396,52,1,730.27,65,8.34,3,8,2,29.21,1,Occasional Shoppers,0,0.0,0.0
1231,127,1,651.12,46,9.3,3,8,9,94.47,1,Occasional Shoppers,0,0.0,0.0
1334,198,1,277.02,85,5.67,4,8,4,61.18,1,Occasional Shoppers,1,1.0,1.0
1487,112,1,385.23,65,8.06,0,8,9,22.49,0,Needs Attention,0,0.0,0.0
1124,116,1,578.49,29,5.92,1,4,6,77.27,3,Loyalists,0,0.0,0.0
1216,218,1,482.63,38,8.9,1,2,4,96.57,3,Loyalists,1,1.0,1.0
1248,59,1,258.31,30,5.56,3,5,3,107.13,2,Champions,0,0.0,0.0
1271,55,1,631.67,76,5.58,0,7,11,70.11,3,Loyalists,0,0.0,0.0
1108,331,1,631.75,32,3.47,4,3,12,74.65,2,Champions,1,1.0,1.0
1158,343,1,924.05,25,3.92,1,4,6,69.29,2,Champions,1,1.0,1.0
1123,91,1,52.86,15,6.46,1,0,16,69.48,3,Loyalists,0,0.0,0.0
1219,293,1,780.02,45,8.11,4,2,4,35.37,1,Occasional Shoppers,1,1.0,1.0
1406,35,1,43.91,10,6.91,0,5,15,97.44,3,Loyalists,0,0.0,0.0
1164,77,1,741.72,27,7.58,3,3,3,47.5,1,Occasional Shoppers,0,0.0,0.0
1329,99,1,670.4,97,6.93,0,4,7,85.46,3,Loyalists,0,0.0,0.0
1351,261,1,286.7,98,6.95,1,8,3,29.29,0,Needs Attention,1,1.0,1.0
1293,229,1,188.25,82,7.84,3,3,18,73.64,1,Occasional Shoppers,1,1.0,1.0
1403,274,1,888.26,47,8.58,2,5,9,60.72,1,Occasional Shoppers,1,1.0,1.0
1017,312,1,653.0,41,8.91,2,8,8,7.52,1,Occasional Shoppers,1,1.0,1.0
1211,137,1,225.71,18,2.88,4,9,5,13.85,0,Needs Attention,0,0.0,0.0
1057,155,1,171.28,60,9.6,3,3,8,62.86,1,Occasional Shoppers,0,0.0,0.0
1159,188,1,713.09,24,4.0,0,5,14,41.93,0,Needs Attention,1,1.0,1.0
1118,216,1,792.83,4,8.77,1,2,2,53.22,3,Loyalists,1,1.0,1.0
1121,265,1,263.52,13,1.21,0,2,2,12.94,0,Needs Attention,1,1.0,1.0
1161,178,1,584.76,18,9.95,3,4,7,45.31,1,Occasional Shoppers,0,0.0,0.0
1072,290,1,423.6,94,3.77,1,1,18,24.01,0,Needs Attention,1,1.0,1.0
1369,314,1,236.79,26,6.8,4,4,8,98.95,2,Champions,1,1.0,1.0
1059,87,1,541.94,88,2.76,3,7,3,103.76,2,Champions,0,0.0,0.0
1142,152,1,358.78,80,1.71,0,9,8,49.6,0,Needs Attention,0,0.0,0.0
1379,193,1,703.47,37,8.31,4,8,9,16.61,1,Occasional Shoppers,1,1.0,1.0
1384,99,1,484.73,60,3.02,1,3,9,116.29,3,Loyalists,0,0.0,0.0
1386,287,1,847.66,89,4.89,4,8,10,37.01,1,Occasional Shoppers,1,1.0,1.0
1377,76,1,917.18,78,6.24,1,1,6,58.95,3,Loyalists,0,0.0,0.0
1154,274,1,874.68,34,5.86,1,4,11,48.18,1,Occasional Shoppers,1,1.0,1.0
1272,260,1,421.22,8,9.97,3,6,15,40.97,1,Occasional Shoppers,1,1.0,1.0
1438,23,1,950.96,78,2.84,1,9,15,46.56,0,Needs Attention,0,0.0,0.0
1451,283,1,615.58,51,9.62,2,1,16,79.15,1,Occasional Shoppers,1,1.0,1.0
1037,130,1,970.08,53,3.05,4,4,13,38.26,2,Champions,0,0.0,0.0
1096,161,1,820.27,29,6.41,4,9,3,52.81,1,Occasional Shoppers,0,0.0,0.0
1036,128,1,409.9,32,4.36,0,8,17,17.7,0,Needs Attention,0,0.0,0.0
1205,123,1,103.64,11,6.41,0,1,19,32.77,3,Loyalists,0,0.0,0.0
1318,240,1,743.27,56,9.6,2,9,7,78.13,1,Occasional Shoppers,1,1.0,1.0
1340,54,1,775.49,37,1.76,0,2,13,72.07,3,Loyalists,0,0.0,0.0
1066,239,1,813.68,96,9.41,3,2,18,23.44,1,Occasional Shoppers,1,1.0,1.0
1256,81,1,898.41,46,1.55,2,7,0,12.73,0,Needs Attention,0,0.0,0.0
1279,157,1,871.1,7,2.18,3,8,3,9.48,0,Needs Attention,0,0.0,0.0
1385,339,1,864.8,14,4.35,3,1,5,55.57,2,Champions,1,1.0,1.0
1397,82,1,84.05,40,8.75,3,7,14,98.04,1,Occasional Shoppers,0,0.0,0.0
1015,48,1,298.1,59,6.1,1,1,5,38.62,3,Loyalists,0,0.0,0.0
1022,107,1,252.48,42,7.86,0,4,4,111.62,3,Loyalists,0,0.0,0.0
1060,186,1,70.79,35,1.07,2,0,2,82.85,2,Champions,1,1.0,1.0
1169,53,1,985.14,17,2.58,1,2,19,5.96,0,Needs Attention,0,0.0,0.0
1254,304,1,220.88,38,6.85,0,5,6,33.64,0,Needs Attention,1,1.0,1.0
1315,66,1,528.54,22,5.14,1,8,1,79.59,3,Loyalists,0,0.0,0.0
1041,240,1,187.47,82,6.58,1,2,2,66.59,3,Loyalists,1,1.0,1.0
1075,358,1,834.01,22,3.8,0,5,10,89.23,3,Loyalists,1,1.0,1.0
1076,24,1,965.73,68,6.49,4,0,10,64.22,2,Champions,0,0.0,0.0
1111,286,1,635.15,58,7.01,0,8,3,21.43,0,Needs Attention,1,1.0,1.0
1116,243,1,542.79,98,2.51,1,6,6,28.5,0,Needs Attention,1,1.0,1.0
1287,317,1,640.81,26,7.92,2,5,7,118.93,1,Occasional Shoppers,1,1.0,1.0
1462,62,1,929.2,57,6.34,4,8,19,99.96,1,Occasional Shoppers,0,0.0,0.0
1431,123,1,61.25,44,1.08,3,5,9,47.72,2,Champions,0,0.0,0.0
1432,52,1,37.52,56,3.22,3,0,3,27.44,2,Champions,0,0.0,0.0
1494,16,1,94.61,17,4.91,4,8,9,38.52,0,Needs Attention,0,0.0,0.0
1365,55,1,698.43,21,2.85,4,4,16,12.18,2,Champions,0,0.0,0.0
1498,203,1,600.56,76,7.62,2,9,10,58.83,1,Occasional Shoppers,1,1.0,1.0
1000,181,1,335.64,56,9.38,3,9,9,35.92,1,Occasional Shoppers,1,1.0,0.9999997343709149
1358,155,1,457.09,39,1.19,2,4,18,119.68,2,Champions,0,0.0,0.0
1422,185,1,429.41,57,5.58,2,7,16,71.04,1,Occasional Shoppers,1,1.0,1.0
1236,127,1,665.75,86,5.52,2,7,10,47.36,1,Occasional Shoppers,0,0.0,0.0
1233,142,1,44.88,79,6.46,0,0,1,26.59,3,Loyalists,0,0.0,0.0
